NAME,RTG,TEAM,GP,COMP,ATT,ATT/G,YDS,300+ YDS,COMP%,YDS/ATT,YDS/COMP,TD,INT,QBR,LONG,SACKS,SACK YDS,FUML
"Brock Purdy",67,"SF","2","4","9","4.5","66",0,"44.4%","7.3","16.5",0,"1","3.8","22",0,0,0
"Brett Rypien",67,"DEN","1","24","46","46","225",0,"52.2%","4.9","9.4",0,"1","7.1","45","1","6",0
"PJ Walker",67,"CAR","5","53","90","18","623","1","58.9%","6.9","11.8","3","3","42.8","62","6","39",0
"C.J. Beathard",67,"JAX","1",0,0,0,0,0,"0%",0,0,0,0,0,0,0,0,0
"Jeff Driskel",67,"HOU","2",0,0,0,0,0,"0%",0,0,0,0,0,0,0,0,0
"Trevor Siemian",67,"CHI","1","1","1","1","5",0,"100%","5","5",0,0,"9.7","5",0,0,0
"Brandon Allen",67,"CIN","1","3","3","3","22",0,"100%","7.3","7.3",0,0,"10.8","13","1",0,0
"Bailey Zappe",67,"NE","4","65","92","23","781","1","70.7%","8.5","12","5","3","43.7","53","6","40","3"
"Cooper Rush",67,"DAL","6","90","156","26","1,020",0,"57.7%","6.5","11.3","5","3","60.8","46","7","49",0
"Jordan Love",67,"GB","2","6","9","4.5","73",0,"66.7%","8.1","12.2",0,0,"19.4","25",0,0,0
"Brian Hoyer",67,"NE","1","5","6","6","37",0,"83.3%","6.2","7.4",0,0,"23.1","27","1","8",0
"Jacob Eason",67,"CAR","1","3","5","5","59",0,"60%","11.8","19.7",0,"1","30.8","49",0,0,0
"Joe Flacco",67,"NYJ","3","91","155","51.7","899","2","58.7%","5.8","9.9","5","3","26.6","66","9","60","3"
"Jarrett Stidham",67,"OAK","2","8","13","6.5","72",0,"61.5%","5.5","9",0,0,"9.6","18","1","8",0
"Case Keenum",67,"BUF","2","2","7","3.5","8",0,"28.6%","1.1","4",0,0,"10.9","5",0,0,0
"Chad Henne",67,"KC","2",0,"2","1",0,0,"0%",0,0,0,0,"4.9",0,0,0,0
"Tyrod Taylor",67,"NYG","1","1","3","3","11",0,"33.3%","3.7","11",0,"1","0.7","11",0,0,0
